antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
고등,미역,0.1605574175339566,0.0924148879872993,0.0148879872993473,0.0927268732146781,1.0033759195533694,5.009154241667792e-05,1.000343871341681,0.0040080895777223
고등,즉석,0.1605574175339566,0.1862056800141118,0.0302698888692891,0.1885299934080421,1.0124825053336406,0.000373185756069,1.0028643244667688,0.0146866666157243
즉석,고등,0.1862056800141118,0.1605574175339566,0.0302698888692891,0.1625615763546798,1.0124825053336406,0.000373185756069,1.0023932014153345,0.0151495446072113
사과,고사,0.2817604515787617,0.0364790968424766,0.0106367966131592,0.0377512051587053,1.034872253601066,0.0003584298136376,1.0013220160139962,0.0469163217811606
고사,사과,0.0364790968424766,0.2817604515787617,0.0106367966131592,0.2915860735009671,1.0348722536010662,0.0003584298136376,1.0138698881468402,0.0349729389982702
김치,과일,0.1897336390897865,0.1327394602222614,0.0264949726583171,0.1396429899590926,1.0520081197051108,0.0013098318195335,1.0080240291602935,0.0610132629940822
과일,김치,0.1327394602222614,0.1897336390897865,0.0264949726583171,0.1996013289036544,1.0520081197051108,0.0013098318195335,1.0123284685122622,0.057003624984647
도라,과일,0.1218909860645616,0.1327394602222614,0.0168460045863468,0.138205499276411,1.0411787048478056,0.0006662608901776,1.0063426246623297,0.0450400610855301
과일,도라,0.1327394602222614,0.1218909860645616,0.0168460045863468,0.1269102990033222,1.0411787048478056,0.0006662608901776,1.0057489086551252,0.04560346264289
사과,과일,0.2817604515787617,0.1327394602222614,0.037537484565179,0.1332248168784824,1.0036564609755707,0.0001367543106335,1.000559956798109,0.005072318816788
과일,사과,0.1327394602222614,0.2817604515787617,0.037537484565179,0.2827906976744186,1.0036564609755707,0.0001367543106335,1.0014364650490677,0.0042007445390655
과일,상추,0.1327394602222614,0.1528488269536073,0.0209384371141294,0.1577408637873754,1.0320057204969777,0.0006493663287017,1.0058082324351696,0.0357598688322449
상추,과일,0.1528488269536073,0.1327394602222614,0.0209384371141294,0.1369878822850548,1.032005720496978,0.0006493663287017,1.0049227837889951,0.0366087236051499
수박,과일,0.0753219262656553,0.1327394602222614,0.0107073557946727,0.1421545667447307,1.0709292210975128,0.0007091639592687,1.0109752947996025,0.0716265218137374
과일,수박,0.1327394602222614,0.0753219262656553,0.0107073557946727,0.0806644518272425,1.0709292210975123,0.0007091639592687,1.0058112900912033,0.0763686011080263
키위,과일,0.1144293526195096,0.1327394602222614,0.0155230199329687,0.1356559272390936,1.0219713641440815,0.0003337294326722,1.003374196814373,0.0242770035474156
과일,키위,0.1327394602222614,0.1144293526195096,0.0155230199329687,0.1169435215946843,1.0219713641440815,0.0003337294326722,1.002847121375198,0.024789553729094
파,과일,0.1207796789557241,0.1327394602222614,0.0165814076556711,0.1372864028041478,1.0342546411916462,0.0005491782652703,1.0052705122495642,0.0376698791652595
과일,파,0.1327394602222614,0.1207796789557241,0.0165814076556711,0.1249169435215946,1.0342546411916462,0.0005491782652703,1.0047278535851445,0.038189358023676
과일,파프,0.1327394602222614,0.1019227376962427,0.0143764332333744,0.1083056478405315,1.0626249872065998,0.0008472640472,1.0071581816446755,0.0679544715771792
파프,과일,0.1019227376962427,0.1327394602222614,0.0143764332333744,0.1410522672204915,1.0626249872065996,0.0008472640472,1.0096778961990274,0.0656226743222033
호박,과일,0.177385782324925,0.1327394602222614,0.0241312400776151,0.1360381861575179,1.024851132660424,0.0005851470807009,1.003818138582521,0.0294774010980617
과일,호박,0.1327394602222614,0.177385782324925,0.0241312400776151,0.1817940199335548,1.0248511326604235,0.0005851470807009,1.0053876868612863,0.0279599130032953
국수,사과,0.0544187687422825,0.2817604515787617,0.0156641382959957,0.2878444084278768,1.02159265722008,0.00033108144081,1.0085430163311426,0.0223526740059713
사과,국수,0.2817604515787617,0.0544187687422825,0.0156641382959957,0.0555938145620735,1.02159265722008,0.00033108144081,1.0012442165647677,0.0294278824591717
토마,국수,0.2165990474510495,0.0544187687422825,0.0118186629035103,0.054564703966121,1.002681707565446,3.160943047295951e-05,1.0001543577063927,0.0034140056063829
국수,토마,0.0544187687422825,0.2165990474510495,0.0118186629035103,0.2171799027552674,1.0026817075654455,3.160943047295951e-05,1.0007420035666716,0.0028284563564046
낙지,김,0.1041453519139178,0.163838419474334,0.0174457576292115,0.1675135501355013,1.022431433805079,0.0003827477760368,1.0044146432194367,0.0244898029069976
김,낙지,0.163838419474334,0.1041453519139178,0.0174457576292115,0.1064814814814815,1.0224314338050788,0.0003827477760368,1.0026145284279468,0.0262381150676086
도라,김,0.1218909860645616,0.163838419474334,0.0203386840712647,0.1668596237337192,1.018440145291187,0.0003682575662789,1.0036262847719908,0.020619607452322
김,도라,0.163838419474334,0.1218909860645616,0.0203386840712647,0.1241386735572782,1.018440145291187,0.0003682575662789,1.002566259549152,0.021654024281182
상추,김,0.1528488269536073,0.163838419474334,0.0251896278003175,0.164800923254472,1.0058747135331632,0.0001471175737324,1.0011524243823262,0.006894168390938
김,상추,0.163838419474334,0.1528488269536073,0.0251896278003175,0.1537467700258398,1.0058747135331632,0.0001471175737324,1.0010610808212337,0.0069847777936542
수박,김,0.0753219262656553,0.163838419474334,0.0132298465337802,0.1756440281030445,1.0720564118391036,0.0008892211826529,1.014321008194487,0.0726882869133918
김,수박,0.163838419474334,0.0753219262656553,0.0132298465337802,0.0807493540051679,1.0720564118391034,0.0008892211826529,1.0059041870279448,0.0803831061980507
오징,김,0.085270770859058,0.163838419474334,0.0145881107779149,0.1710798510550269,1.044198617173716,0.0006174824530088,1.0087359820965982,0.0462735705275554
김,오징,0.163838419474334,0.085270770859058,0.0145881107779149,0.0890396210163652,1.0441986171737163,0.0006174824530088,1.004137227308955,0.0506215407214234
김,전복,0.163838419474334,0.0669077438701711,0.0115540659728347,0.0705211024978466,1.0540050884795489,0.0005920069665523,1.003887510127864,0.0612776025490597
전복,김,0.0669077438701711,0.163838419474334,0.0115540659728347,0.1726865278143949,1.0540050884795489,0.0005920069665523,1.010694988825319,0.0549120161073507
키위,김,0.1144293526195096,0.163838419474334,0.0203739636620215,0.1780484045013103,1.086731702323351,0.0016260393873698,1.017288104439234,0.0901223112087004
김,키위,0.163838419474334,0.1144293526195096,0.0203739636620215,0.1243540051679586,1.086731702323351,0.0016260393873698,1.0113340923238652,0.0954476686555501
토마,김,0.2165990474510495,0.163838419474334,0.0362850590933145,0.1675217851616581,1.022481696900775,0.0007978134992882,1.0044245790720654,0.0280665770754282
김,토마,0.163838419474334,0.2165990474510495,0.0362850590933145,0.2214685615848406,1.022481696900775,0.0007978134992882,1.0062547430887363,0.0262956152587832
파,김,0.1207796789557241,0.163838419474334,0.0204974422296701,0.1697093617642763,1.0358337336796757,0.0007090905249468,1.0070709484361011,0.0393463357904233
김,파,0.163838419474334,0.1207796789557241,0.0204974422296701,0.1251076658053402,1.0358337336796752,0.0007090905249468,1.004946879382136,0.0413725035821709
김,파프,0.163838419474334,0.1019227376962427,0.017234080084671,0.1051894918173988,1.0320512791845515,0.0005352198320214,1.0036507775571288,0.037141024716965
파프,김,0.1019227376962427,0.163838419474334,0.017234080084671,0.1690896503980616,1.0320512791845515,0.0005352198320214,1.0063198525884811,0.0345804300289436
풋고,김,0.0827306403245722,0.163838419474334,0.0143411536426177,0.1733475479744136,1.0580396742753564,0.0007866962897402,1.0115031758228974,0.0598034345728073
김,풋고,0.163838419474334,0.0827306403245722,0.0143411536426177,0.087532299741602,1.0580396742753564,0.0007866962897402,1.005262278780575,0.0656043752961052
호박,김,0.177385782324925,0.163838419474334,0.0302346092785323,0.1704455051710421,1.040326839809042,0.0011720030651983,1.0079646192479137,0.0471224839885003
